# Client: PowClient
# Tasks: 10000
# Format: task_input | result

pow(3.395576, -0.054698) = 0.935320
pow(0.250721, -1.790979) = 11.913424
pow(-1.526192, 1.250005) = -nan
pow(-4.970428, 1.776104) = -nan
pow(-3.294484, -1.725564) = -nan
pow(-0.483639, -1.213078) = -nan
pow(-4.182154, -1.884602) = -nan
pow(1.370749, 1.735559) = 1.728617
pow(3.843915, 1.552452) = 8.087856
pow(-0.355122, 0.978024) = -nan
pow(3.284197, 1.322717) = 4.820475
pow(-4.608516, -2.249119) = -nan
pow(4.136303, 0.130066) = 1.202819
pow(0.917647, 2.788285) = 0.786918
pow(0.295566, -2.503130) = 21.135922
pow(0.901673, -2.291109) = 1.267616
pow(1.695126, -2.570047) = 0.257597
pow(0.764068, 1.873002) = 0.604096
pow(0.924767, -2.778471) = 1.242735
pow(-0.927593, -0.124053) = -nan
pow(-0.234647, 1.785569) = -nan
pow(3.132319, 0.125519) = 1.154093
pow(2.449994, -1.915762) = 0.179660
pow(-0.852340, 1.108846) = -nan
pow(-2.103030, -1.801047) = -nan
pow(-2.384970, -0.131189) = -nan
pow(-1.795182, -1.880132) = -nan
pow(-2.708438, -0.931660) = -nan
pow(3.611891, -2.769335) = 0.028539
pow(0.770353, 2.610033) = 0.506124
pow(-3.525379, 2.611943) = -nan
pow(0.678065, 2.068606) = 0.447679
pow(3.730988, 0.990810) = 3.686114
pow(-2.279484, 0.519955) = -nan
pow(-0.845092, -0.782370) = -nan
pow(-2.841374, 1.761101) = -nan
pow(-0.251132, -0.672499) = -nan
pow(0.810722, -0.958111) = 1.222675
pow(-4.403066, -2.440890) = -nan
pow(-2.498394, -0.018546) = -nan
pow(-3.380895, 1.943247) = -nan
pow(3.105128, -2.870779) = 0.038668
pow(-4.052153, -0.876724) = -nan
pow(-1.269408, -1.870396) = -nan
pow(-1.038022, 0.957111) = -nan
pow(0.292374, 2.589626) = 0.041398
pow(0.225442, -2.804061) = 65.182672
pow(-1.648850, -2.996348) = -nan
pow(0.103781, -0.626042) = 4.130024
pow(-0.073607, 2.593586) = -nan
pow(2.815888, 2.883205) = 19.784877
pow(-3.769365, -2.217432) = -nan
pow(3.961275, -1.152188) = 0.204730
pow(-2.247279, -0.294779) = -nan
pow(4.897701, 0.003873) = 1.006173
pow(2.797770, 1.138239) = 3.225365
pow(4.579612, -1.732867) = 0.071593
pow(-2.661697, 1.110163) = -nan
pow(3.204614, -0.361806) = 0.656156
pow(0.953874, -0.703921) = 1.033801
pow(-4.506422, -2.807113) = -nan
pow(3.266521, -1.855524) = 0.111199
pow(4.205859, -2.644778) = 0.022389
pow(0.681407, -2.273534) = 2.391969
pow(-2.986999, -1.302020) = -nan
pow(1.210061, -1.600716) = 0.736969
pow(-3.141812, 2.379012) = -nan
pow(-3.463887, -1.219944) = -nan
pow(-1.546488, -1.556246) = -nan
pow(1.914579, 0.842298) = 1.728184
pow(-2.277116, 0.104992) = -nan
pow(4.737568, -2.013575) = 0.043623
pow(-0.064455, 0.059089) = -nan
pow(-4.692941, 2.549130) = -nan
pow(-0.813250, 0.254116) = -nan
pow(0.653520, -0.759805) = 1.381551
pow(-2.042453, 1.598322) = -nan
pow(0.117986, -0.135493) = 1.335858
pow(-4.620347, 0.148306) = -nan
pow(-1.142103, 2.282031) = -nan
pow(4.850232, 2.808626) = 84.343241
pow(-3.601494, -2.995905) = -nan
pow(-1.019930, 1.528568) = -nan
pow(4.591476, 2.351635) = 36.030512
pow(-1.058769, 2.995845) = -nan
pow(-3.124024, -0.091867) = -nan
pow(3.019650, 1.085588) = 3.319214
pow(4.935881, 2.921893) = 106.154204
pow(1.527061, 2.312203) = 2.661419
pow(4.739436, 1.925381) = 20.000052
pow(4.949892, 0.312780) = 1.649134
pow(-4.198571, 0.154382) = -nan
pow(1.564516, 2.682691) = 3.322474
pow(1.414958, -1.631546) = 0.567616
pow(4.051223, -0.610542) = 0.425641
pow(-2.915453, 0.561891) = -nan
pow(0.281528, 0.885846) = 0.325357
pow(4.964984, -0.364200) = 0.557888
pow(3.387487, -2.144310) = 0.073077
pow(-4.248769, -0.374742) = -nan
pow(0.507591, -1.328651) = 2.461896
pow(2.317120, -2.769853) = 0.097532
pow(0.472589, 0.487835) = 0.693748
pow(3.635821, 1.328823) = 5.558295
pow(2.348570, 0.958917) = 2.267618
pow(0.106291, 2.067380) = 0.009714
pow(0.663196, -2.763665) = 3.111163
pow(3.076521, 1.505169) = 5.427659
pow(-1.196796, 0.123364) = -nan
pow(3.125760, 1.863187) = 8.359778
pow(-0.766077, 2.204634) = -nan
pow(-2.354209, 0.768674) = -nan
pow(1.840148, -1.843043) = 0.324986
pow(-2.291238, 2.267829) = -nan
pow(-4.674119, -0.378059) = -nan
pow(1.514840, -2.502617) = 0.353681
pow(-1.537255, -1.170042) = -nan
pow(-3.545479, 0.945452) = -nan
pow(3.189250, 0.234786) = 1.312983
pow(-2.302760, 2.460236) = -nan
pow(2.846983, -2.008370) = 0.122300
pow(3.042561, -1.206590) = 0.261173
pow(-0.402891, -2.722305) = -nan
pow(-1.120811, -2.284731) = -nan
pow(4.913533, 1.659144) = 14.032077
pow(-2.261288, -2.207085) = -nan
pow(4.245005, 2.389134) = 31.628966
pow(3.392906, 2.513953) = 21.569131
pow(-4.870112, 1.632918) = -nan
pow(1.129745, 0.557881) = 1.070426
pow(-0.968490, 2.336969) = -nan
pow(-2.730610, 2.537762) = -nan
pow(-0.415723, 0.586697) = -nan
pow(-3.823328, -0.654534) = -nan
pow(2.033117, -2.726383) = 0.144488
pow(-0.715789, -0.677708) = -nan
pow(0.817273, 2.551611) = 0.597578
pow(-3.782082, 1.078934) = -nan
pow(4.821907, 2.770074) = 78.084848
pow(4.907539, 1.533704) = 11.470457
pow(-3.205876, 2.494823) = -nan
pow(0.490778, 1.230296) = 0.416579
pow(1.384982, 1.745502) = 1.765593
pow(-2.004895, 2.041171) = -nan
pow(-2.018908, 0.603167) = -nan
pow(-2.082099, 2.485659) = -nan
pow(-2.000200, 1.312986) = -nan
pow(1.087801, 1.935075) = 1.176864
pow(-2.692964, 2.688898) = -nan
pow(0.384520, 0.764307) = 0.481671
pow(4.964354, -2.525861) = 0.017472
pow(-1.820021, -2.148617) = -nan
pow(4.020424, 0.734136) = 2.777266
pow(2.187523, 0.961645) = 2.122823
pow(-0.436696, 1.240248) = -nan
pow(4.966975, 1.548508) = 11.964759
pow(-3.871679, 0.890946) = -nan
pow(4.257315, 0.009874) = 1.014406
pow(1.044302, -1.244668) = 0.947474
pow(3.312603, -2.013252) = 0.089695
pow(-2.309243, -2.391166) = -nan
pow(-3.653882, 0.688917) = -nan
pow(-2.536534, -2.768760) = -nan
pow(-2.722436, 1.832326) = -nan
pow(-1.744914, 2.617584) = -nan
pow(0.122401, -2.440609) = 168.406116
pow(-4.542095, -1.152834) = -nan
pow(1.983004, -2.574968) = 0.171554
pow(-1.440502, -0.007026) = -nan
pow(-4.903124, 1.864129) = -nan
pow(1.818149, 2.887479) = 5.619207
pow(-0.771285, -0.676406) = -nan
pow(-3.997416, 1.571104) = -nan
pow(-0.686356, 1.658374) = -nan
pow(1.795319, -1.363940) = 0.450159
pow(4.545664, 0.525798) = 2.216987
pow(-3.949673, 2.542580) = -nan
pow(-3.561545, 1.432919) = -nan
pow(-0.211381, 1.428270) = -nan
pow(-3.975528, -0.148611) = -nan
pow(-4.957805, 1.089645) = -nan
pow(3.618929, -2.621389) = 0.034336
pow(0.166695, -0.961395) = 5.598097
pow(-2.254886, 0.320840) = -nan
pow(-3.051459, 1.881078) = -nan
pow(2.749585, -1.290773) = 0.271023
pow(-2.320618, -2.063090) = -nan
pow(-0.002350, 1.951541) = -nan
pow(0.482855, 2.481908) = 0.164158
pow(-1.678365, 1.855337) = -nan
pow(-0.711112, -0.131482) = -nan
pow(-4.279527, -1.763105) = -nan
pow(-3.078121, -1.739477) = -nan
pow(-4.200044, 0.127894) = -nan
pow(1.045065, 1.874883) = 1.086154
pow(-4.175784, -0.540836) = -nan
pow(-0.155705, -0.318361) = -nan
pow(4.634989, -0.758218) = 0.312601
pow(2.614041, -0.120713) = 0.890482
pow(-2.643739, 1.460067) = -nan
pow(-0.215352, 1.046713) = -nan
pow(4.886694, -1.461429) = 0.098413
pow(-3.414481, 0.321143) = -nan
pow(3.611655, -2.890645) = 0.024427
pow(-2.534927, 0.379045) = -nan
pow(-0.989728, -0.995632) = -nan
pow(-1.348537, 2.627968) = -nan
pow(-3.918787, 0.150296) = -nan
pow(-0.059316, -0.091025) = -nan
pow(-0.411959, 0.857447) = -nan
pow(-2.970905, 0.536823) = -nan
pow(-2.081073, 2.772057) = -nan
pow(-2.637994, -0.552449) = -nan
pow(0.981285, 0.109532) = 0.997933
pow(0.866741, 0.942480) = 0.873900
pow(-2.764136, 1.226275) = -nan
pow(0.457599, 1.226556) = 0.383324
pow(2.583092, 0.731958) = 2.002945
pow(1.393997, 2.336357) = 2.172938
pow(-1.045077, -2.908495) = -nan
pow(-3.882353, -2.409453) = -nan
pow(-0.848702, -0.645715) = -nan
pow(-2.367533, 1.957925) = -nan
pow(4.881337, 1.620416) = 13.053269
pow(-4.270318, -0.230500) = -nan
pow(-4.598812, 2.590847) = -nan
pow(2.451904, -1.731713) = 0.211588
pow(-2.856660, 2.042961) = -nan
pow(-4.473025, 2.009745) = -nan
pow(2.837508, -0.331134) = 0.707974
pow(-4.862222, -0.984364) = -nan
pow(-2.112549, -0.390464) = -nan
pow(3.163763, -1.018711) = 0.309341
pow(0.960210, 2.524433) = 0.902578
pow(-3.660583, -2.246248) = -nan
pow(-1.562266, -2.904946) = -nan
pow(2.696264, -0.161728) = 0.851793
pow(-4.152269, -0.968968) = -nan
pow(1.703028, -1.599671) = 0.426698
pow(-2.032441, -2.263456) = -nan
pow(0.097356, -2.227718) = 179.324112
pow(-4.757770, 2.511032) = -nan
pow(2.305995, -1.619847) = 0.258360
pow(2.562955, 0.017577) = 1.016681
pow(3.705290, -1.758681) = 0.099913
pow(-1.887957, -0.284104) = -nan
pow(4.380917, -1.899916) = 0.060406
pow(4.982127, -1.678515) = 0.067512
pow(-1.880500, 0.523750) = -nan
pow(-2.328844, 2.314750) = -nan
pow(-2.480543, -0.716299) = -nan
pow(-1.231872, 2.224206) = -nan
pow(4.735503, 1.748737) = 15.171813
pow(-0.430795, -0.625966) = -nan
pow(1.463010, -1.034113) = 0.674708
pow(3.627577, -0.112703) = 0.864828
pow(3.676982, -2.947211) = 0.021547
pow(-3.524536, 2.066049) = -nan
pow(3.308840, 2.429038) = 18.294135
pow(-1.724286, 2.781769) = -nan
pow(-4.682684, -1.809812) = -nan
pow(-1.194127, 1.857740) = -nan
pow(2.597141, -2.194255) = 0.123166
pow(-4.289803, 1.955081) = -nan
pow(2.962383, 0.527914) = 1.774132
pow(0.093741, -2.464426) = 341.670130
pow(1.162085, 0.683328) = 1.108100
pow(-3.052513, 0.903488) = -nan
pow(-0.111383, 1.698130) = -nan
pow(-4.965579, -1.818819) = -nan
pow(1.652505, 2.356370) = 3.266067
pow(-4.340853, 0.053108) = -nan
pow(0.239430, 1.908494) = 0.065338
pow(-1.964078, -2.983040) = -nan
pow(0.761666, 1.674328) = 0.633920
pow(2.757828, 0.505673) = 1.670256
pow(1.547572, 1.042664) = 1.576675
pow(2.085964, -0.568241) = 0.658502
pow(2.104981, -0.225037) = 0.845780
pow(-1.543359, -0.866653) = -nan
pow(2.643044, 1.494187) = 4.272707
pow(-2.828041, -1.218364) = -nan
pow(3.260206, -1.936247) = 0.101445
pow(2.409772, 0.905123) = 2.216844
pow(-3.787684, -1.445677) = -nan
pow(-3.872199, 0.412046) = -nan
pow(-4.380479, 0.493672) = -nan
pow(0.858699, -0.923544) = 1.151068
pow(1.894915, -1.142367) = 0.481826
pow(2.822938, -0.464698) = 0.617390
pow(-3.721471, -0.711382) = -nan
pow(-4.872008, 0.737356) = -nan
pow(-2.715129, 2.355723) = -nan
pow(-2.388093, 1.227967) = -nan
pow(0.230376, 0.929234) = 0.255596
pow(0.543357, -2.652966) = 5.044399
pow(4.742781, -2.757978) = 0.013662
pow(3.396184, 0.325718) = 1.489201
pow(-1.747715, 0.073434) = -nan
pow(2.321187, -0.927928) = 0.457770
pow(0.531006, -1.004232) = 1.888271
pow(3.949018, 2.691309) = 40.302918
pow(0.960122, -2.961194) = 1.128066
pow(2.327510, -0.240932) = 0.815838
pow(0.082404, -2.872898) = 1301.286072
pow(2.393337, 0.970078) = 2.331650
pow(-1.411861, -0.172510) = -nan
pow(-2.259541, -0.574903) = -nan
pow(-4.745289, -1.270132) = -nan
pow(1.682619, -1.383918) = 0.486692
pow(-3.602398, -2.920125) = -nan
pow(3.173028, -0.009496) = 0.989095
pow(-0.192876, -2.707519) = -nan
pow(-2.971985, -1.682821) = -nan
pow(-3.965478, -1.989566) = -nan
pow(1.970108, -1.108267) = 0.471657
pow(-3.139597, -2.699875) = -nan
pow(3.215051, -2.749019) = 0.040340
pow(0.150142, 0.083731) = 0.853194
pow(1.270687, 2.947916) = 2.026270
pow(0.679518, -0.118273) = 1.046758
pow(2.916800, -1.776896) = 0.149248
pow(-4.804690, -2.886883) = -nan
pow(-2.226368, -0.310377) = -nan
pow(3.374998, 2.896675) = 33.902882
pow(3.295210, -2.164864) = 0.075658
pow(0.508340, -1.502974) = 2.764666
pow(4.580817, -0.516405) = 0.455707
pow(3.926686, 2.571997) = 33.715812
pow(-2.451344, 0.815716) = -nan
pow(-3.890556, -0.895470) = -nan
pow(-4.746195, -0.125880) = -nan
pow(-0.645994, -1.832334) = -nan
pow(3.409474, -1.436521) = 0.171705
pow(4.613695, 2.031238) = 22.327568
pow(-1.250811, 1.329437) = -nan
pow(4.311787, -0.003661) = 0.994664
pow(3.541773, -0.260159) = 0.719640
pow(1.918262, 0.420170) = 1.314829
pow(0.154129, 0.166116) = 0.732984
pow(-0.120419, -1.395795) = -nan
pow(0.337063, 0.717878) = 0.458093
pow(2.770578, 1.249516) = 3.572719
pow(-0.317534, -0.233009) = -nan
pow(-3.402123, 2.567053) = -nan
pow(-0.618535, -2.396964) = -nan
pow(4.968881, 0.665189) = 2.904985
pow(-4.953901, 0.822712) = -nan
pow(0.057634, 1.483511) = 0.014503
pow(0.335873, 2.312339) = 0.080233
pow(-4.980365, -0.414846) = -nan
pow(0.829645, -2.587837) = 1.621413
pow(-4.221682, 0.748808) = -nan
pow(-2.033873, 0.427109) = -nan
pow(-3.270824, 0.142591) = -nan
pow(0.334813, 0.725697) = 0.452012
pow(-3.617911, -0.188602) = -nan
pow(-3.423082, -2.684643) = -nan
pow(-1.355318, 2.691846) = -nan
pow(-0.482266, -2.347717) = -nan
pow(-1.383032, 2.013494) = -nan
pow(-1.605331, -0.853984) = -nan
pow(-1.131238, 2.420848) = -nan
pow(-2.202838, -0.209526) = -nan
pow(-0.328965, 0.169226) = -nan
pow(0.703903, -2.337773) = 2.272379
pow(-4.600117, -0.177463) = -nan
pow(1.493887, 1.541064) = 1.856244
pow(-4.494948, -0.814269) = -nan
pow(-4.370457, 1.398837) = -nan
pow(-0.529432, 1.984009) = -nan
pow(-4.787683, -2.531975) = -nan
pow(1.997940, 1.209789) = 2.310157
pow(4.340349, -0.343741) = 0.603750
pow(4.975173, -1.344542) = 0.115641
pow(-0.538948, -0.402532) = -nan
pow(-3.814440, 1.021585) = -nan
pow(2.275893, -1.287999) = 0.346728
pow(-3.812519, -0.034815) = -nan
pow(-2.805288, 0.344304) = -nan
pow(2.356681, -2.503661) = 0.116919
pow(-4.377975, 1.716934) = -nan
pow(-4.213662, 1.279052) = -nan
pow(-3.889394, 2.567939) = -nan
pow(-0.905419, -2.995048) = -nan
pow(-4.646468, -0.008398) = -nan
pow(-2.443879, -2.359242) = -nan
pow(0.549044, 1.188245) = 0.490444
pow(-1.390310, -1.997446) = -nan
pow(-2.429392, 1.631215) = -nan
pow(4.822017, -2.254905) = 0.028799
pow(1.449486, -1.486698) = 0.575869
pow(1.573405, 0.781909) = 1.425316
pow(-0.547029, 2.717771) = -nan
pow(0.998209, -0.823625) = 1.001477
pow(1.063555, -1.911608) = 0.888885
pow(-1.998646, -1.956773) = -nan
pow(-3.119572, -1.656903) = -nan
pow(3.651405, -2.575836) = 0.035579
pow(-1.120990, -0.824804) = -nan
pow(2.707051, -0.111749) = 0.894683
pow(-0.929848, -1.903334) = -nan
pow(0.616444, -0.816394) = 1.484327
pow(1.095111, -1.158266) = 0.900113
pow(-2.112650, -0.727423) = -nan
pow(-4.204284, 1.079209) = -nan
pow(2.946757, -2.940587) = 0.041673
pow(-0.172462, -2.509285) = -nan
pow(-2.862329, -1.983958) = -nan
pow(0.767784, -0.491184) = 1.138593
pow(-0.823233, -0.376804) = -nan
pow(4.019215, 1.704846) = 10.714391
pow(4.110791, -1.274724) = 0.164974
pow(-4.985899, -1.495806) = -nan
pow(2.789565, -1.404341) = 0.236763
pow(1.294445, 1.129874) = 1.338568
pow(0.557263, 2.353586) = 0.252540
